_id,name,email,password,phone,role,profile_image,address,created_at,updated_at,__v
"""6a74b45582e7a429699cd4db""","System Administrator","admin@bookadoctor.com","$2a$10$r2TsUGql7Nk8YpC2sAZXAO/v9JjkDnbqsvkJ19Rjh9LXykPcBT4O.","+91-9876543210","admin","","Health HQ, Chennai, Tamil Nadu","""2026-08-06T16:20:37.138Z""","""2026-08-06T16:20:37.138Z""","0"
"""6a74b45582e7a429699cd4dc""","John Doe","patient@example.com","$2a$10$Za2okrvC4bfmao/G176PUO5/ATCP0JXCJ3kUe1bWA.mswJ3oN42yq","+91-9876543211","patient","","12 Anna Salai, Chennai, Tamil Nadu","""2026-08-06T16:20:37.141Z""","""2026-08-06T16:20:37.141Z""","0"
"""6a74b45582e7a429699cd4de""","Dr. Suresh Subramanian","suresh.subramanian1@bookadoctor.in","$2a$10$Za2okrvC4bfmao/G176PUO5/ATCP0JXCJ3kUe1bWA.mswJ3oN42yq","+91-984000001","doctor","https://images.unsplash.com/photo-1537368910025-700350fe46c7?auto=format&fit=crop&q=80&w=400","Government Head Quarters Hospital, Ariyalur, Ariyalur, Tamil Nadu","""2026-08-06T16:20:37.146Z""","""2026-08-06T16:20:37.146Z""","0"
"""6a74b45582e7a429699cd4e6""","Dr. Lakshmi Natarajan","lakshmi.natarajan2@bookadoctor.in","$2a$10$Za2okrvC4bfmao/G176PUO5/ATCP0JXCJ3kUe1bWA.mswJ3oN42yq","+91-984000002","doctor","https://images.unsplash.com/photo-1651008376811-b90baee60c1f?auto=format&fit=crop&q=80&w=400","Government Head Quarters Hospital, Ariyalur, Ariyalur, Tamil Nadu","""2026-08-06T16:20:37.161Z""","""2026-08-06T16:20:37.161Z""","0"
"""6a74b45582e7a429699cd4ee""","Dr. Venkatesh Krishnan","venkatesh.krishnan3@bookadoctor.in","$2a$10$Za2okrvC4bfmao/G176PUO5/ATCP0JXCJ3kUe1bWA.mswJ3oN42yq","+91-984000003","doctor","https://images.unsplash.com/photo-1582750433449-648ed127bb54?auto=format&fit=crop&q=80&w=400","Government Head Quarters Hospital, Ariyalur, Ariyalur, Tamil Nadu","""2026-08-06T16:20:37.173Z""","""2026-08-06T16:20:37.173Z""","0"
"""6a74b45582e7a429699cd4f6""","Dr. Meena Murugan","meena.murugan4@bookadoctor.in","$2a$10$Za2okrvC4bfmao/G176PUO5/ATCP0JXCJ3kUe1bWA.mswJ3oN42yq","+91-984000004","doctor","https://images.unsplash.com/photo-1559839734-2b71ea197ec2?auto=format&fit=crop&q=80&w=400","Chengalpattu Medical College & Hospital, Chengalpattu, Tamil Nadu","""2026-08-06T16:20:37.184Z""","""2026-08-06T16:20:37.184Z""","0"
"""6a74b45582e7a429699cd4fe""","Dr. Rajesh Iyengar","rajesh.iyengar5@bookadoctor.in","$2a$10$Za2okrvC4bfmao/G176PUO5/ATCP0JXCJ3kUe1bWA.mswJ3oN42yq","+91-984000005","doctor","https://images.unsplash.com/photo-1622253692010-333f2da6031d?auto=format&fit=crop&q=80&w=400","Chengalpattu Medical College & Hospital, Chengalpattu, Tamil Nadu","""2026-08-06T16:20:37.197Z""","""2026-08-06T16:20:37.197Z""","0"
"""6a74b45582e7a429699cd506""","Dr. Radha Balasubramanian","radha.balasubramanian6@bookadoctor.in","$2a$10$Za2okrvC4bfmao/G176PUO5/ATCP0JXCJ3kUe1bWA.mswJ3oN42yq","+91-984000006","doctor","https://images.unsplash.com/photo-1651008376811-b90baee60c1f?auto=format&fit=crop&q=80&w=400","Apollo Hospitals, Greams Road, Chennai, Chennai, Tamil Nadu","""2026-08-06T16:20:37.209Z""","""2026-08-06T16:20:37.209Z""","0"
"""6a74b45582e7a429699cd50e""","Dr. Vijay Chettiar","vijay.chettiar7@bookadoctor.in","$2a$10$Za2okrvC4bfmao/G176PUO5/ATCP0JXCJ3kUe1bWA.mswJ3oN42yq","+91-984000007","doctor","https://images.unsplash.com/photo-1612349317150-e413f6a5b16d?auto=format&fit=crop&q=80&w=400","Apollo Hospitals, Greams Road, Chennai, Chennai, Tamil Nadu","""2026-08-06T16:20:37.219Z""","""2026-08-06T16:20:37.219Z""","0"
"""6a74b45582e7a429699cd516""","Dr. Sangeetha Pillai","sangeetha.pillai8@bookadoctor.in","$2a$10$Za2okrvC4bfmao/G176PUO5/ATCP0JXCJ3kUe1bWA.mswJ3oN42yq","+91-984000008","doctor","https://images.unsplash.com/photo-1559839734-2b71ea197ec2?auto=format&fit=crop&q=80&w=400","Ganga Medical Centre & Hospitals, Coimbatore, Coimbatore, Tamil Nadu","""2026-08-06T16:20:37.231Z""","""2026-08-06T16:20:37.231Z""","0"
